,제품명,용법_인덱스,용법_내용
1527,경동겐타마이신황산염주,(주사제),"1. 신기능정상 환자
보통 치료기간은 7～10일이며, 중증이나 난치성인 경우에는 연장할 수 있다.
1) 성인 : 겐타마이신으로서 1일 체중 Kg당 3mg(역가)을 8시간마다 분할 정맥 또는 근육주사하며 생명이 위독한 경우에는 1일 체중 Kg당 5mg(역가)을 3～4회 분할 주사한다.
증상의 개선에 따라 감량하며 이때 최고혈중농도는 12㎍/mL, 최저혈중농도(차기투여직전)는 2㎍/mL가 넘지 않는 것이 바람직하다.
<표 1>

2) 소아 : 1일 체중 Kg당 6～7.5mg(역가)을 8시간마다 분할 정맥 또는 근육주사 한다.
3) 유아 : 1일 체중 Kg당 7.5mg(역가)을 8시간마다 분할 정맥 또는 근육주사 한다.
4) 미숙아 및 생후 1주 미만의 신생아 : 1일 체중 Kg당 5mg(역가)을 12시간마다 분할 정맥주사 한다.
5) 점적 정맥주사의 경우 미숙아, 신생아, 영아, 유아 또는 소아에 대한 안전성이 확립되어 있지 않다.
6) 근육주사의 경우 미숙아, 신생아에 대한 안전성이 확립되어 있지 않다.
※ 정맥주사
패혈증, 쇽, 울혈성심부전, 혈액학적장애, 중증화상 및 근육량감소 환자 등 근육주사가 부적당한 환자에 정맥주사한다. 주사량은 근육주사와 동일하나 다음과 같이 희석하여 다른 약물과 혼합하지 말고 따로 투여한다. 간헐정맥주사 시 1회 용량을 50～200mL의 생리식염주사액 또는 5% 포도당 주사액에 희석하여 30분～2시간에 걸쳐 점적 정맥주사한다.
유ㆍ소아의 경우 희석액의 약을 적절히 감량 조절한다.
2. 신기능부전 환자
1) 신기능부전 환자에는 신장기능부전의 정도에 따라 용량을 조절한다.
<표2> 신장기능부전 환자의 용량조절(초회투여후 8시간간격 용량)

겐타마이신의 혈청반감기는 혈청크레아티닌 농도와 밀접한 관계가 있으므로, 투여 간격은 혈청크레아티닌 농도(mg/100mL)를 8배하여 개략 산출할 수 있다.
2) 중증전신감염인 신장애 환자 : 용량을 감소하고 투여횟수를 증가시키는 것이 바람직하다. 이러한 환자는 겐타마이신 혈청농도를 체크하여 용량 조절을 해야만 한다. 초기용량으로는 정상인의 통상 사용량을 투여하고, 이후의 용량(8시간마다 투여)은 정상권장용량을 혈청크레아티닌으로 나누어 개략적으로 구한다.
3) 혈액투석중인 환자에게는 매 투석말기에 성인은 체중 Kg당 1～1.7mg(역가), 소아는 체중 Kg당 2mg(역가)을 투여한다.
3. 요로감염증
정상적인 신기능 환자의 요로감염증에는 1일 1회 160mg(역가)을 투여할 수 있다.
연령, 증상에 따라 적절히 증감한다.
"
1528,경동겐타마이신황산염주,(점안제),"감염부위에 4시간마다 1회 1～2방울을 점안한다. 중증인 경우에는 매 시간 2방울을 점안한다.
연령, 증상에 따라 적절히 증감한다.
"
1529,경동겐타마이신황산염주,(연고제)(크림제),"1일 1～4회 환부에 바르고 부드럽게 문지른다. 필요시 거즈를 덮을 수 있다. 전염성 농가진인 경우에는 이 약과 감염부위와의 접촉을 최대한으로 하기 위하여 가피(부스럼, 딱지)를 제거한 후 바르는 것이 바람직하다. 이 때 다른 정상피부가 오염되지 않도록 주의하면서 제거한다.
"
1530,경동겐타마이신황산염주,(이식제),"- 이 약은 완전히 흡수되므로 별도로 제거할 필요가 없다.
- 수술시 사용하고 남은 이식정은 살균할 수 없으므로 다시 사용하지 말고 버린다.
- 10x10cm 이식정 1개는 5x5cm 이식정 4개와 동등하다.
- 별도의 지시가 없는 한 다음과 같이 사용하고, 이식정을 강하게 누르지 않도록 한다.
1. 감염병소의 외과적 치료 후 병소의 크기에 따라 체중이 50Kg 이하인 경우 10x10cm 이식정 1～3개를, 50Kg이상인 경우 10x10cm이식정 최대 5개를 사용한다.
상처가 작은 경우 이식정을 자르거나 5x5cm 이식정을 한다.
2. 골해면질 이식 또는 접합제 없는(cementless) 인공 관절이식에 있어서, 체중이 50Kg 이하인 환자의 경우 10x10cm 이식정 1～3개를, 50Kg이상인 경우 최대 5개를 사용한다.
3. 감염병소의 외과적 치료 후 연조직 감염의 경우, 병소의 크기에 따라 10x10cm 이식정 최대 3개까지 사용할 수 있다. 병소가 작을 경우, 크기에 맞게 자르거나 5x5cm 이식정을 한다.
"
1531,경동니자티딘,의약품 조제 또는 제조용,
1532,경동덱사메타손주(덱사메타손포스페이트이나트륨)(수출용),인산덱사메타손으로서 보통 성인에 대하여 투여방법에 따라 아래와 같다.,
1533,경동덱사메타손주(덱사메타손포스페이트이나트륨)(수출용),1) 정맥 또는 근육주사 : 1회 2 - 8mg을 3 - 6시간마다,
1534,경동덱사메타손주(덱사메타손포스페이트이나트륨)(수출용),2) 점적 주사 : 1회 2 - 10mg을 1일 1 - 2회,
1535,경동덱사메타손주(덱사메타손포스페이트이나트륨)(수출용),"3) 관절내 주사, 점액낭내 주입 : 1회 0.8 - 5mg, 원칙적으로 투여간격 2주 이상",
1536,경동덱사메타손주(덱사메타손포스페이트이나트륨)(수출용),"4) 연조직내 주사 : 1회 2 - 6mg, 원칙적으로 투여간격 2주 이상",
1537,경동덱사메타손주(덱사메타손포스페이트이나트륨)(수출용),"5) 건초내 주사 : 1회 0.8 - 2.5mg, 원칙적으로 투여간격 2주 이상",
1538,경동덱사메타손주(덱사메타손포스페이트이나트륨)(수출용),6) 국소피내 주사 : 1회 0.05 - 0.1mg씩 1mg까지 주 1회,
1539,경동덱사메타손주(덱사메타손포스페이트이나트륨)(수출용),7) 결막하 주사 : 1회 0.4 - 2.5mg,
1540,경동덱사메타손주(덱사메타손포스페이트이나트륨)(수출용),8) 구후 주사 : 1회 1 - 5mg,
1541,경동덱사메타손주(덱사메타손포스페이트이나트륨)(수출용),"단, 연령, 증상에 따라 적절히 증감한다.",
1542,경동디클로페낙베타디메칠아미노에탄올,의약품 조제 또는 제조용,
1543,경동디클로페낙주(디클로페낙나트륨)(수출용),성인 : 디클로페낙나트륨으로서 1일 1회 75mg(1앰플)을 둔부의 상부 한쪽편에 깊숙히 근육주사한다. 중증의 경우에는 1회 75mg(1앰플)씩 1일 2회 투여할 수 있으며 이 때에는 둔부 양쪽에 번갈아 한번씩 주사한다. 치료초기 이후에는 정제 또는 좌제로 바꾸어 투여해야 한다.,
1544,경동디클로페낙주(디클로페낙나트륨)(수출용),"연령, 질환, 증상에 따라 적절히 증감한다.",
1545,경동디클로페낙주(디클로페낙나트륨)(수출용),이 약의 심혈관계 이상반응을 최소화하기위해 최단기간동안 최소유효용량을 사용하여야 한다.,
1546,경동디페메린염산염,의약품 조제 또는 제조용,
1547,경동라미부딘(원료),의약품 조제 또는 제조용,
1548,경동레바미피드(원료),의약품 조제 또는 제조용,
1549,경동레보설피리드(원료),의약품 조제 또는 제조용,
1550,경동레보세티리진염산염(원료),의약품 조제 또는 제조용,
1551,경동레보플록사신수화물(원료),의약품 조제 또는 제조용,
1552,경동로자탄칼륨(원료),의약품 조제 또는 제조용,
1553,경동록사티딘아세테이트염산염(원료),의약품 조제 또는 제조용,
1554,경동리스페리돈(원료),의약품 조제 또는 제조용,
1555,경동리스페리돈(원료)(수출용),의약품 조제 또는 제조용,
1556,"경동린코마이신염산염수화물주(린코마이신염산염수화물)(수출명:린코디시나주,린콕스주)",(캡슐제),
1557,"경동린코마이신염산염수화물주(린코마이신염산염수화물)(수출명:린코디시나주,린콕스주)","○ 성인 : 린코마이신으로서 중증감염에 1회 500 mg(역가)을 8시간마다 경구투여하며, 심한 중증감염에는 1회 500 mg(역가)을 6시간마다 투여한다.",
1558,"경동린코마이신염산염수화물주(린코마이신염산염수화물)(수출명:린코디시나주,린콕스주)","○ 소아(28일 이상) : 이 약으로서 중증감염에 1일 체중 kg당 30 mg(역가)을 3 ∼ 4회 분할 투여하며, 심한 중증감염에는 체중 kg당 60 mg(역가)을 3 ∼ 4회 분할 투여한다.",
1559,"경동린코마이신염산염수화물주(린코마이신염산염수화물)(수출명:린코디시나주,린콕스주)",베타-용혈성연쇄구균 감염증에는 치료 후에 속발될지도 모르는 류마티스열이나 사구체신염을 예방하기 위하여 최소한 10일 이상 계속 투여하는 것이 바람직하다.,
1560,"경동린코마이신염산염수화물주(린코마이신염산염수화물)(수출명:린코디시나주,린콕스주)","연령, 증상에 따라 적절히 증감한다.",
1561,"경동린코마이신염산염수화물주(린코마이신염산염수화물)(수출명:린코디시나주,린콕스주)",(주사제),
1562,"경동린코마이신염산염수화물주(린코마이신염산염수화물)(수출명:린코디시나주,린콕스주)",1. 근육주사,"○ 성인 : 린코마이신으로서 중증감염에 1회 300 mg(역가)을 1일 2회 근육주사하며 심한 중증감염에는 1회 600 mg(역가)을 1일 2회 근육주사한다.
○ 소아(28일 이상) : 이 약으로서 중증감염에 1일 체중 kg당 10 mg(역가)을 1 ∼ 2회 분할하여 근육 주사한다.
"
1563,"경동린코마이신염산염수화물주(린코마이신염산염수화물)(수출명:린코디시나주,린콕스주)",2. 정맥주사,"○ 성인 : 이 약으로서 중증감염에 1일 600 ∼ 1,000 mg(역가)을 2 ∼ 3회 분할 점적 정맥주사하며 심한 중증감염에는 증량하여 주사할 수 있다.
○ 소아(28일 이상) : 이 약으로서 중증감염에 1일 체중 kg당 10 ∼ 20 mg(역가)을 2 ∼ 3회 분할 점적 정맥주사한다.
연령, 증상에 따라 적절히 증감한다.
"
1564,"경동린코마이신염산염수화물주(린코마이신염산염수화물)(수출명:린코디시나주,린콕스주)",3. 투여방법,"이 약은 정맥 내에 투여하기 전에 반드시 희석되어야 한다. 희석용액으로는 생리식염 주사액이나 5 % 포도당 주사액이 사용된다.
희석 비율 및 주입속도는 아래와 같다.

"
1565,경동멀티비타주,"11세 이상의 소아 및 성인 : 이 약에 주사용 증류수 5 mL를 가볍게 흔들어 녹인 다음, 5분 이내에 정맥주사용 포도당 주사액, 생리식염 주사액 또는 이와 유사한 수액제 500～1,000 mL에 혼합하여 1일 1회 점적정맥주사 한다.",
1566,경동메실산독사조신(원료),의약품 조제 또는 제조용,
1567,경동메트포르민염산염(원료),의약품 조제 또는 제조용,
1568,경동멜록시캄,의약품 조제 또는 제조용,
1569,경동모사프리드시트르산염이수화물(원료),의약품 조제 또는 제조용,
1570,경동모사프리드시트르산염이수화물(원료),분류번호 : 719(주성분으로 사용하는 원료의약품에 한함),
1571,경동반코마이신염산염(원료),의약품 조제 또는 제조용,
1572,경동발사르탄(원료),의약품 조제 또는 제조용,
1573,경동베포타스틴베실산염(원료),의약품 조제 또는 제조용,
1574,경동부시라민(원료)(수출용),의약품 조제 또는 제조용,
1575,경동세파제돈나트륨,의약품 조제 또는 제조용,
1576,경동세파클러수화물(원료),의약품 조제 또는 제조용,
1577,경동세포페라존나트륨(원료),의약품 조제 또는 제조용,
1578,경동세포페라존주(세포페라존나트륨),○ 성인 : 세포페라존으로서 1일 2 ～ 4 g(역가)을 12시간마다 분할하여 정맥 또는 근육주사 한다.,
1579,경동세포페라존주(세포페라존나트륨),중증 또는 감수성이 낮은 균주에 의한 감염증 : 이 약으로서 1일 6 ～ 12 g(역가)을 2 ～ 4회 분할 1회 1.5 ～ 4 g(역가)으로 투여한다.,
1580,경동세포페라존주(세포페라존나트륨),○ 유ㆍ소아 : 이 약으로서 1일 체중 kg당 25 ～ 150 mg(역가)을 2 ～ 4회 분할하여 정맥주사한다.,
1581,경동세포페라존주(세포페라존나트륨),"○ 신부전 환자 : 크레아티닌청소율이 18 mL/min보다 적거나, 혈청크레아티닌치가 3.5 mg/dL보다 큰 환자에 대한 최대용량은 1일 4 g(역가)이다.",
1582,경동세포페라존주(세포페라존나트륨),"연령, 증상에 따라 적절히 증감한다.",
1583,경동세포페라존주(세포페라존나트륨),<이 약의 조제법 및 투여법>,
1584,경동세포페라존주(세포페라존나트륨),"정맥주사 시는 5 %, 10 % 포도당 주사액, 5 % 포도당주사액과 생리식염 주사액의 혼합액, 생리식염 주사액, 5 % 포도당 주사액과 0.2 % 염화나트륨주사액의 혼합액 등을 희석액으로 사용하고, 점적 정맥주사 시는 5 % 또는 10 % 포도당주사액, 5 % 포도당주사액과 유산염링겔주사액, 5 % 포도당주사액과 생리식염 주사액의 혼합액, 생리식염 주사액, 5 % 포도당주사액과 0.2 % 염화나트륨주사액의 혼합액 등을 사용한다.",
1585,경동세포페라존주(세포페라존나트륨),1. 정맥주사,"1) 직접 정맥주사 : 최대량은 성인의 경우 1회 2 g(역가), 소아의 경우 체중 kg당 50 mg(역가)을 넘지 않아야 한다. 최종농도가 100 mg/mL이 되도록 적당한 희석액에 녹여 3 ～ 5분간에 걸쳐 정맥주사 한다.
2) 간헐점적 정맥주사 : 이 약 1 g(역가) 또는 2 g(역가)을 희석액(1 g당 5 mL)에 녹인 후, 20 ～ 40 mL의 점적 정맥주사용액에 혼합하여 15분 ～ 1시간에 걸쳐 주사한다.
3) 지속점적 정맥주사 : 1 g(역가)당 주사용수 5 mL에 녹인 후 적당한 점적 정맥주사용액에 녹여 최종농도가 2 ～ 25 mg/mL로 하여 주사한다.
"
1586,경동세포페라존주(세포페라존나트륨),2. 근육주사,"주사용수에 녹여 주사하고 250 mg/mL 이상을 근육주사 할 때는 0.5 % 리도카인 주사액에 녹여 근육주사한다.
희석법은 다음 표와 같다. 먼저 이 약을 주사용수 필요량에 녹인 후 2 % 리도카인 필요량을 가하여 0.5 % 리도카인 주사액으로 하여 근육주사한다.

"
1587,경동세프메타졸나트륨(원료)(수출용),의약품 조제 또는 제조용,
1588,경동세프메타졸주1그램(세프메타졸나트륨),1. 정맥주사,
1589,경동세프메타졸주1그램(세프메타졸나트륨),○ 성인 : 세프메타졸로서 1일 1～2g(역가)을 2회 분할 정맥 또는 점적 정맥주사한다.,
1590,경동세프메타졸주1그램(세프메타졸나트륨),○ 소아 : 1일 체중 Kg당 25～100mg(역가)을 2～4회 분할 정맥 또는 점적 정맥주사 한다.,
